station_poi_desc_cd,line_name,transition_date,number_of_passenger
KUCUKBAKKALKOY,M8,2024-09-04,2813
KUCUKBAKKALKOY,M8,2024-09-05,2877
KUCUKBAKKALKOY,M8,2024-09-06,2887
KUCUKBAKKALKOY,M8,2024-09-07,1921
KUCUKBAKKALKOY,M8,2024-09-08,1077
KUCUKBAKKALKOY,M8,2024-09-09,1871
KURTKOY,M4,2024-09-01,4418
KURTKOY,M4,2024-09-04,7716
KURTKOY,M4,2024-09-05,7884
KURTKOY,M4,2024-09-06,7965
KURTKOY,M4,2024-09-07,5967
KURTKOY,M4,2024-09-08,4467
KURTKOY,M4,2024-09-09,6478
Kartal,M1,2024-09-01,19102
Kartal,M1,2024-09-02,1
Kartal,M1,2024-09-03,1
Kartal,M1,2024-09-04,22177
Kartal,M1,2024-09-05,22681
Kartal,M1,2024-09-06,23672
Kartal,M1,2024-09-07,25404
Kartal,M1,2024-09-08,22670
Kartal,M1,2024-09-09,11321
Kartal,M4,2024-09-01,4546
Kartal,M4,2024-09-04,8612
Kartal,M4,2024-09-05,8677
Kartal,M4,2024-09-06,8994
Kartal,M4,2024-09-07,6547
Kartal,M4,2024-09-08,4869
Kartal,M4,2024-09-09,6886
Kayaşehir Merkez,M3,2024-09-01,2946
Kayaşehir Merkez,M3,2024-09-02,1
Kayaşehir Merkez,M3,2024-09-04,4549
Kayaşehir Merkez,M3,2024-09-05,4718
Kayaşehir Merkez,M3,2024-09-06,4701
Kayaşehir Merkez,M3,2024-09-07,4375
Kayaşehir Merkez,M3,2024-09-08,3152
Kayaşehir Merkez,M3,2024-09-09,3646
Kirazlı,M1,2024-09-01,8265
Kirazlı,M1,2024-09-04,11883
Kirazlı,M1,2024-09-05,12028
Kirazlı,M1,2024-09-06,12452
Kirazlı,M1,2024-09-07,11264
Kirazlı,M1,2024-09-08,8584
Kirazlı,M1,2024-09-09,9383
Kirazlı,M3,2024-09-01,3999
Kirazlı,M3,2024-09-04,7623
Kirazlı,M3,2024-09-05,7762
Kirazlı,M3,2024-09-06,7780
Kirazlı,M3,2024-09-07,6629
Kirazlı,M3,2024-09-08,4083
Kirazlı,M3,2024-09-09,6854
Kozyatağı,M4,2024-09-01,7740
Kozyatağı,M4,2024-09-04,19296
Kozyatağı,M4,2024-09-05,19429
Kozyatağı,M4,2024-09-06,19574
Kozyatağı,M4,2024-09-07,13010
Kozyatağı,M4,2024-09-08,8591
Kozyatağı,M4,2024-09-09,11447
Kozyatağı,M8,2024-09-01,4303
Kozyatağı,M8,2024-09-04,10077
Kozyatağı,M8,2024-09-05,10180
Kozyatağı,M8,2024-09-06,10405
Kozyatağı,M8,2024-09-07,6945
Kozyatağı,M8,2024-09-08,4856
Kozyatağı,M8,2024-09-09,5506
Küçükyalı,M4,2024-09-01,4972
Küçükyalı,M4,2024-09-04,9480
Küçükyalı,M4,2024-09-05,9610
Küçükyalı,M4,2024-09-06,9891
Küçükyalı,M4,2024-09-07,7403
Küçükyalı,M4,2024-09-08,5860
Küçükyalı,M4,2024-09-09,6191
Kısıklı,M5,2024-09-01,1538
Kısıklı,M5,2024-09-02,1
Kısıklı,M5,2024-09-04,2768
Kısıklı,M5,2024-09-05,2876
Kısıklı,M5,2024-09-06,2937
Kısıklı,M5,2024-09-07,2132
Kısıklı,M5,2024-09-08,1529
Kısıklı,M5,2024-09-09,2269
Levent,M2,2024-09-01,25369
Levent,M2,2024-09-02,1
Levent,M2,2024-09-04,53002
Levent,M2,2024-09-05,54929
Levent,M2,2024-09-06,53557
Levent,M2,2024-09-07,38359
Levent,M2,2024-09-08,26967
Levent,M2,2024-09-09,29784
Levent,M6,2024-09-01,3339
Levent,M6,2024-09-04,5917
Levent,M6,2024-09-05,6010
Levent,M6,2024-09-06,6168
Levent,M6,2024-09-07,4906
Levent,M6,2024-09-08,3583
Levent,M6,2024-09-09,5154
M7 YILDIZ,M7,2024-09-01,2683
M7 YILDIZ,M7,2024-09-04,3947
M7 YILDIZ,M7,2024-09-05,3894
M7 YILDIZ,M7,2024-09-06,3775
M7 YILDIZ,M7,2024-09-07,3272
