Line,transition_hour,Number_of_Trips,Direction,Day_Type,Peak_Hour_Indicator
M6,22,6,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M6,23,5,Boğaziçi Üniversitesi – Hisarüstü to Levent,Weekday,No
M6,23,5,Levent to Boğaziçi Üniversitesi – Hisarüstü,Weekday,No
M8,0,2,Parseller to Bostancı,Weekday,No
M8,0,2,Bostancı to Parseller,Weekday,No
M8,1,2,Parseller to Bostancı,Weekday,No
M8,1,2,Bostancı to Parseller,Weekday,No
M8,2,2,Parseller to Bostancı,Weekday,No
M8,2,2,Bostancı to Parseller,Weekday,No
M8,3,2,Parseller to Bostancı,Weekday,No
M8,3,2,Bostancı to Parseller,Weekday,No
M8,4,2,Parseller to Bostancı,Weekday,No
M8,4,2,Bostancı to Parseller,Weekday,No
M8,5,2,Parseller to Bostancı,Weekday,No
M8,5,2,Bostancı to Parseller,Weekday,No
M8,6,6,Parseller to Bostancı,Weekday,No
M8,6,6,Bostancı to Parseller,Weekday,No
M8,7,6,Parseller to Bostancı,Weekday,Yes
M8,7,6,Bostancı to Parseller,Weekday,Yes
M8,8,5,Parseller to Bostancı,Weekday,Yes
M8,8,5,Bostancı to Parseller,Weekday,Yes
M8,9,8,Parseller to Bostancı,Weekday,Yes
M8,9,8,Bostancı to Parseller,Weekday,Yes
M8,10,8,Parseller to Bostancı,Weekday,No
M8,10,8,Bostancı to Parseller,Weekday,No
M8,11,8,Parseller to Bostancı,Weekday,No
M8,11,8,Bostancı to Parseller,Weekday,No
M8,12,8,Parseller to Bostancı,Weekday,No
M8,12,8,Bostancı to Parseller,Weekday,No
M8,13,8,Parseller to Bostancı,Weekday,No
M8,13,8,Bostancı to Parseller,Weekday,No
M8,14,8,Parseller to Bostancı,Weekday,No
M8,14,8,Bostancı to Parseller,Weekday,No
M8,15,8,Parseller to Bostancı,Weekday,No
M8,15,8,Bostancı to Parseller,Weekday,No
M8,16,8,Parseller to Bostancı,Weekday,Yes
M8,16,8,Bostancı to Parseller,Weekday,Yes
M8,17,8,Parseller to Bostancı,Weekday,Yes
M8,17,8,Bostancı to Parseller,Weekday,Yes
M8,18,9,Parseller to Bostancı,Weekday,Yes
M8,18,9,Bostancı to Parseller,Weekday,Yes
M8,19,9,Parseller to Bostancı,Weekday,No
M8,19,9,Bostancı to Parseller,Weekday,No
M8,20,6,Parseller to Bostancı,Weekday,No
M8,20,6,Bostancı to Parseller,Weekday,No
M8,21,7,Parseller to Bostancı,Weekday,No
M8,21,7,Bostancı to Parseller,Weekday,No
M8,22,6,Parseller to Bostancı,Weekday,No
M8,22,6,Bostancı to Parseller,Weekday,No
M8,23,5,Parseller to Bostancı,Weekday,No
M8,23,5,Bostancı to Parseller,Weekday,No
M9,0,2,Ataköy to Olimpiyat,Weekday,No
M9,0,2,Olimpiyat to Ataköy,Weekday,No
M9,1,2,Ataköy to Olimpiyat,Weekday,No
M9,1,2,Olimpiyat to Ataköy,Weekday,No
M9,2,2,Ataköy to Olimpiyat,Weekday,No
M9,2,2,Olimpiyat to Ataköy,Weekday,No
M9,3,2,Ataköy to Olimpiyat,Weekday,No
M9,3,2,Olimpiyat to Ataköy,Weekday,No
M9,4,2,Ataköy to Olimpiyat,Weekday,No
M9,4,2,Olimpiyat to Ataköy,Weekday,No
M9,5,2,Ataköy to Olimpiyat,Weekday,No
M9,5,2,Olimpiyat to Ataköy,Weekday,No
M9,6,6,Ataköy to Olimpiyat,Weekday,No
M9,6,6,Olimpiyat to Ataköy,Weekday,No
M9,7,6,Ataköy to Olimpiyat,Weekday,Yes
M9,7,6,Olimpiyat to Ataköy,Weekday,Yes
M9,8,5,Ataköy to Olimpiyat,Weekday,Yes
M9,8,5,Olimpiyat to Ataköy,Weekday,Yes
M9,9,8,Ataköy to Olimpiyat,Weekday,Yes
M9,9,8,Olimpiyat to Ataköy,Weekday,Yes
M9,10,8,Ataköy to Olimpiyat,Weekday,No
M9,10,8,Olimpiyat to Ataköy,Weekday,No
M9,11,8,Ataköy to Olimpiyat,Weekday,No
M9,11,8,Olimpiyat to Ataköy,Weekday,No
M9,12,8,Ataköy to Olimpiyat,Weekday,No
M9,12,8,Olimpiyat to Ataköy,Weekday,No
M9,13,8,Ataköy to Olimpiyat,Weekday,No
M9,13,8,Olimpiyat to Ataköy,Weekday,No
M9,14,8,Ataköy to Olimpiyat,Weekday,No
M9,14,8,Olimpiyat to Ataköy,Weekday,No
M9,15,8,Ataköy to Olimpiyat,Weekday,No
M9,15,8,Olimpiyat to Ataköy,Weekday,No
M9,16,8,Ataköy to Olimpiyat,Weekday,Yes
M9,16,8,Olimpiyat to Ataköy,Weekday,Yes
M9,17,8,Ataköy to Olimpiyat,Weekday,Yes
M9,17,8,Olimpiyat to Ataköy,Weekday,Yes
M9,18,9,Ataköy to Olimpiyat,Weekday,Yes
M9,18,9,Olimpiyat to Ataköy,Weekday,Yes
M9,19,9,Ataköy to Olimpiyat,Weekday,No
M9,19,9,Olimpiyat to Ataköy,Weekday,No
M9,20,6,Ataköy to Olimpiyat,Weekday,No
M9,20,6,Olimpiyat to Ataköy,Weekday,No
M9,21,7,Ataköy to Olimpiyat,Weekday,No
M9,21,7,Olimpiyat to Ataköy,Weekday,No
M9,22,6,Ataköy to Olimpiyat,Weekday,No
M9,22,6,Olimpiyat to Ataköy,Weekday,No
M9,23,5,Ataköy to Olimpiyat,Weekday,No
M9,23,5,Olimpiyat to Ataköy,Weekday,No
M11,0,2,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,0,2,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,1,2,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,1,2,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,2,2,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,2,2,İstanbul Havalimanı to Gayrettepe,Weekday,No
M11,3,2,Gayrettepe to İstanbul Havalimanı,Weekday,No
M11,3,2,İstanbul Havalimanı to Gayrettepe,Weekday,No
